2024-05-16 04:22:55,273:INFO:Iteration 1, Epoch 34, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 04:42:00,845:INFO:Iteration 1, Epoch 35, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 05:00:21,259:INFO:Iteration 1, Epoch 36, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 05:19:10,128:INFO:Iteration 1, Epoch 37, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 05:37:50,841:INFO:Iteration 1, Epoch 38, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 05:56:13,601:INFO:Iteration 1, Epoch 39, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 06:14:53,571:INFO:Iteration 1, Epoch 40, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 06:34:07,730:INFO:Iteration 1, Epoch 41, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 06:53:02,783:INFO:Iteration 1, Epoch 42, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 07:12:24,915:INFO:Iteration 1, Epoch 43, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 07:31:28,762:INFO:Iteration 1, Epoch 44, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 07:50:39,117:INFO:Iteration 1, Epoch 45, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 08:09:48,815:INFO:Iteration 1, Epoch 46, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 08:28:55,214:INFO:Iteration 1, Epoch 47, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 08:47:48,553:INFO:Iteration 1, Epoch 48, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 09:06:35,475:INFO:Iteration 1, Epoch 49, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 09:25:39,249:INFO:Iteration 1, Epoch 50, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-16 09:44:50,041:INFO:Iteration 2, Epoch 1, Accuracy: 0.5764973958333334, Loss: 1.0310920666282375, Validation Accuracy: 0.6373697916666666, Validation Loss: 0.9722630381584167
2024-05-16 10:03:22,479:INFO:Iteration 2, Epoch 2, Accuracy: 0.68212890625, Loss: 0.9279718001683553, Validation Accuracy: 0.8089192708333334, Validation Loss: 0.8783820271492004
2024-05-16 10:22:06,877:INFO:Iteration 2, Epoch 3, Accuracy: 0.7307942708333334, Loss: 0.8523172798256079, Validation Accuracy: 0.8473307291666666, Validation Loss: 0.8248136043548584
2024-05-16 10:41:03,114:INFO:Iteration 2, Epoch 4, Accuracy: 0.7349446614583334, Loss: 0.7965133177737395, Validation Accuracy: 0.8111979166666666, Validation Loss: 0.7726829648017883
2024-05-16 10:59:24,281:INFO:Iteration 2, Epoch 5, Accuracy: 0.7632649739583334, Loss: 0.74336035673817, Validation Accuracy: 0.5901692708333334, Validation Loss: 0.7132776379585266
2024-05-16 11:18:36,763:INFO:Iteration 2, Epoch 6, Accuracy: 0.791015625, Loss: 0.7023129127919674, Validation Accuracy: 0.7073567708333334, Validation Loss: 0.6789059042930603
2024-05-16 11:37:25,926:INFO:Iteration 2, Epoch 7, Accuracy: 0.7925618489583334, Loss: 0.6764668927838405, Validation Accuracy: 0.9033203125, Validation Loss: 0.6415428519248962
2024-05-16 11:56:08,457:INFO:Iteration 2, Epoch 8, Accuracy: 0.8264973958333334, Loss: 0.6431732301910719, Validation Accuracy: 0.8994140625, Validation Loss: 0.6188163161277771
2024-05-16 12:14:16,068:INFO:Iteration 2, Epoch 9, Accuracy: 0.8226725260416666, Loss: 0.6180174027880033, Validation Accuracy: 0.7021484375, Validation Loss: 0.6018418669700623
2024-05-16 12:32:46,075:INFO:Iteration 2, Epoch 10, Accuracy: 0.8462727864583334, Loss: 0.5951576757555207, Validation Accuracy: 0.9137369791666666, Validation Loss: 0.5756954550743103
2024-05-16 12:51:40,270:INFO:Iteration 2, Epoch 11, Accuracy: 0.844482421875, Loss: 0.576154757446299, Validation Accuracy: 0.7845052083333334, Validation Loss: 0.5715242624282837
2024-05-16 13:10:05,003:INFO:Iteration 2, Epoch 12, Accuracy: 0.8575032552083334, Loss: 0.560744061289976, Validation Accuracy: 0.9000651041666666, Validation Loss: 0.5592465996742249
2024-05-16 13:32:43,743:INFO:Iteration 2, Epoch 13, Accuracy: 0.867919921875, Loss: 0.5479867073396841, Validation Accuracy: 0.8255208333333334, Validation Loss: 0.5426246523857117
2024-05-16 14:00:39,439:INFO:Iteration 2, Epoch 14, Accuracy: 0.863037109375, Loss: 0.5378667179805537, Validation Accuracy: 0.8958333333333334, Validation Loss: 0.5414586663246155
2024-05-16 14:28:31,650:INFO:Iteration 2, Epoch 15, Accuracy: 0.879638671875, Loss: 0.5310224109950165, Validation Accuracy: 0.908203125, Validation Loss: 0.5286334156990051
2024-05-16 14:57:02,868:INFO:Iteration 2, Epoch 16, Accuracy: 0.8860677083333334, Loss: 0.5197853874415159, Validation Accuracy: 0.9163411458333334, Validation Loss: 0.5247379541397095
2024-05-16 15:25:47,195:INFO:Iteration 2, Epoch 17, Accuracy: 0.8934733072916666, Loss: 0.5143185138391951, Validation Accuracy: 0.9137369791666666, Validation Loss: 0.5282614827156067
2024-05-16 15:54:27,404:INFO:Iteration 2, Epoch 18, Accuracy: 0.906494140625, Loss: 0.5030087019937733, Validation Accuracy: 0.8994140625, Validation Loss: 0.5135660767555237
2024-05-16 16:23:05,465:INFO:Iteration 2, Epoch 19, Accuracy: 0.8961588541666666, Loss: 0.4962524753063917, Validation Accuracy: 0.9228515625, Validation Loss: 0.5060306787490845
2024-05-16 16:51:44,874:INFO:Iteration 2, Epoch 20, Accuracy: 0.90771484375, Loss: 0.49158772655452293, Validation Accuracy: 0.7018229166666666, Validation Loss: 0.5148014426231384
2024-05-16 17:20:38,532:INFO:Iteration 2, Epoch 21, Accuracy: 0.9103190104166666, Loss: 0.4916081631866594, Validation Accuracy: 0.9150390625, Validation Loss: 0.49699530005455017
2024-05-16 17:49:15,003:INFO:Iteration 2, Epoch 22, Accuracy: 0.9156087239583334, Loss: 0.47947467816993594, Validation Accuracy: 0.9147135416666666, Validation Loss: 0.49740564823150635
2024-05-16 18:17:57,767:INFO:Iteration 2, Epoch 23, Accuracy: 0.9141438802083334, Loss: 0.47975084589173395, Validation Accuracy: 0.6917317708333334, Validation Loss: 0.48484858870506287
2024-05-16 18:46:39,843:INFO:Iteration 2, Epoch 24, Accuracy: 0.92724609375, Loss: 0.47005389630794525, Validation Accuracy: 0.9251302083333334, Validation Loss: 0.48352256417274475
2024-05-16 19:15:27,753:INFO:Iteration 2, Epoch 25, Accuracy: 0.9182942708333334, Loss: 0.4707865323871374, Validation Accuracy: 0.9205729166666666, Validation Loss: 0.48276475071907043
2024-05-16 19:43:50,574:INFO:Iteration 2, Epoch 26, Accuracy: 0.93115234375, Loss: 0.4642795040272176, Validation Accuracy: 0.6666666666666666, Validation Loss: 0.4964675009250641
2024-05-16 20:12:42,692:INFO:Iteration 2, Epoch 27, Accuracy: 0.923583984375, Loss: 0.46237666392698884, Validation Accuracy: 0.9189453125, Validation Loss: 0.49411216378211975
2024-05-16 20:41:11,073:INFO:Iteration 2, Epoch 28, Accuracy: 0.937255859375, Loss: 0.45693386408189934, Validation Accuracy: 0.9248046875, Validation Loss: 0.48477545380592346
2024-05-16 21:10:06,930:INFO:Iteration 2, Epoch 29, Accuracy: 0.9354654947916666, Loss: 0.45307703494715196, Validation Accuracy: 0.9274088541666666, Validation Loss: 0.4814126789569855
2024-05-16 21:38:42,287:INFO:Iteration 2, Epoch 30, Accuracy: 0.9305826822916666, Loss: 0.45011589163914323, Validation Accuracy: 0.9186197916666666, Validation Loss: 0.4909336566925049
2024-05-16 22:07:05,310:INFO:Iteration 2, Epoch 31, Accuracy: 0.941162109375, Loss: 0.4548529403594633, Validation Accuracy: 0.92578125, Validation Loss: 0.4809178113937378
2024-05-16 22:35:24,379:INFO:Iteration 2, Epoch 32, Accuracy: 0.940673828125, Loss: 0.4458040107662479, Validation Accuracy: 0.9205729166666666, Validation Loss: 0.4898203909397125
2024-05-16 23:03:43,409:INFO:Iteration 2, Epoch 33, Accuracy: 0.9493815104166666, Loss: 0.43970721308141947, Validation Accuracy: 0.931640625, Validation Loss: 0.47644659876823425
2024-05-16 23:31:15,902:INFO:Iteration 2, Epoch 34, Accuracy: 0.9481608072916666, Loss: 0.43961737599844736, Validation Accuracy: 0.9134114583333334, Validation Loss: 0.48565924167633057
2024-05-16 23:59:56,895:INFO:Iteration 2, Epoch 35, Accuracy: 0.9462890625, Loss: 0.43705318169668317, Validation Accuracy: 0.9306640625, Validation Loss: 0.4824468791484833
2024-05-17 00:28:52,978:INFO:Iteration 2, Epoch 36, Accuracy: 0.9451497395833334, Loss: 0.4343149464887877, Validation Accuracy: 0.9156901041666666, Validation Loss: 0.5077596306800842
2024-05-17 00:57:39,873:INFO:Iteration 2, Epoch 37, Accuracy: 0.9483235677083334, Loss: 0.4340655514970422, Validation Accuracy: 0.9215494791666666, Validation Loss: 0.4799354374408722
2024-05-17 01:26:19,913:INFO:Iteration 2, Epoch 38, Accuracy: 0.95751953125, Loss: 0.431336081897219, Validation Accuracy: 0.9231770833333334, Validation Loss: 0.49951717257499695
2024-05-17 01:55:09,616:INFO:Iteration 2, Epoch 39, Accuracy: 0.9506022135416666, Loss: 0.4342506895773113, Validation Accuracy: 0.904296875, Validation Loss: 0.4879899024963379
2024-05-17 02:23:54,563:INFO:Iteration 2, Epoch 40, Accuracy: 0.9534505208333334, Loss: 0.4311365612472097, Validation Accuracy: 0.9280598958333334, Validation Loss: 0.47417184710502625
2024-05-17 02:52:23,357:INFO:Iteration 2, Epoch 41, Accuracy: 0.9485677083333334, Loss: 0.42935927336414653, Validation Accuracy: 0.9303385416666666, Validation Loss: 0.46854114532470703
2024-05-17 03:21:20,755:INFO:Iteration 2, Epoch 42, Accuracy: 0.9568684895833334, Loss: 0.42770198949923116, Validation Accuracy: 0.9332682291666666, Validation Loss: 0.46643519401550293
2024-05-17 03:50:07,141:INFO:Iteration 2, Epoch 43, Accuracy: 0.9588216145833334, Loss: 0.4199794555703799, Validation Accuracy: 0.916015625, Validation Loss: 0.5383161902427673
2024-05-17 04:18:52,210:INFO:Iteration 2, Epoch 44, Accuracy: 0.959228515625, Loss: 0.4239906168853243, Validation Accuracy: 0.9319661458333334, Validation Loss: 0.46851298213005066
2024-05-17 04:47:21,386:INFO:Iteration 2, Epoch 45, Accuracy: 0.9564615885416666, Loss: 0.42546008884285885, Validation Accuracy: 0.9235026041666666, Validation Loss: 0.5176665782928467
2024-05-17 05:15:35,745:INFO:Iteration 2, Epoch 46, Accuracy: 0.9607747395833334, Loss: 0.4205093456742664, Validation Accuracy: 0.9202473958333334, Validation Loss: 0.48890790343284607
2024-05-17 05:43:55,148:INFO:Iteration 2, Epoch 47, Accuracy: 0.9580078125, Loss: 0.42269521439448, Validation Accuracy: 0.9303385416666666, Validation Loss: 0.47181573510169983
2024-05-17 06:12:39,436:INFO:Iteration 2, Epoch 48, Accuracy: 0.957763671875, Loss: 0.41716476778189343, Validation Accuracy: 0.9248046875, Validation Loss: 0.49040114879608154
2024-05-17 06:41:22,406:INFO:Iteration 2, Epoch 49, Accuracy: 0.958984375, Loss: 0.4200885348642866, Validation Accuracy: 0.9244791666666666, Validation Loss: 0.48751091957092285
2024-05-17 07:09:59,482:INFO:Iteration 2, Epoch 50, Accuracy: 0.9625651041666666, Loss: 0.4131364654749632, Validation Accuracy: 0.927734375, Validation Loss: 0.4824550449848175
2024-05-17 07:38:44,045:INFO:Iteration 3, Epoch 1, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 08:07:35,628:INFO:Iteration 3, Epoch 2, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 08:36:21,979:INFO:Iteration 3, Epoch 3, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 09:04:44,458:INFO:Iteration 3, Epoch 4, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 09:33:15,499:INFO:Iteration 3, Epoch 5, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 10:02:07,721:INFO:Iteration 3, Epoch 6, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 10:31:01,871:INFO:Iteration 3, Epoch 7, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 10:59:39,107:INFO:Iteration 3, Epoch 8, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 11:28:08,081:INFO:Iteration 3, Epoch 9, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 11:56:47,635:INFO:Iteration 3, Epoch 10, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 12:25:39,102:INFO:Iteration 3, Epoch 11, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 12:54:21,071:INFO:Iteration 3, Epoch 12, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 13:23:00,047:INFO:Iteration 3, Epoch 13, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 13:51:42,302:INFO:Iteration 3, Epoch 14, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 14:20:34,583:INFO:Iteration 3, Epoch 15, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 14:49:23,573:INFO:Iteration 3, Epoch 16, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 15:18:19,053:INFO:Iteration 3, Epoch 17, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 15:47:06,056:INFO:Iteration 3, Epoch 18, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 16:16:07,988:INFO:Iteration 3, Epoch 19, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 16:44:55,447:INFO:Iteration 3, Epoch 20, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 17:13:53,770:INFO:Iteration 3, Epoch 21, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 17:42:29,208:INFO:Iteration 3, Epoch 22, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 18:11:29,868:INFO:Iteration 3, Epoch 23, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 18:39:44,015:INFO:Iteration 3, Epoch 24, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 19:07:52,461:INFO:Iteration 3, Epoch 25, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 19:36:32,297:INFO:Iteration 3, Epoch 26, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 20:04:49,290:INFO:Iteration 3, Epoch 27, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 20:33:34,348:INFO:Iteration 3, Epoch 28, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 21:02:25,652:INFO:Iteration 3, Epoch 29, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 21:30:51,786:INFO:Iteration 3, Epoch 30, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 21:59:03,698:INFO:Iteration 3, Epoch 31, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 22:27:27,663:INFO:Iteration 3, Epoch 32, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 22:56:13,380:INFO:Iteration 3, Epoch 33, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 23:24:59,276:INFO:Iteration 3, Epoch 34, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-17 23:53:11,049:INFO:Iteration 3, Epoch 35, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 00:18:48,108:INFO:Iteration 3, Epoch 36, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 00:32:14,995:INFO:Iteration 3, Epoch 37, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 00:44:44,984:INFO:Iteration 3, Epoch 38, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 00:57:34,553:INFO:Iteration 3, Epoch 39, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 01:16:26,583:INFO:Iteration 3, Epoch 40, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 01:33:26,980:INFO:Iteration 3, Epoch 41, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 01:50:14,324:INFO:Iteration 3, Epoch 42, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 02:07:15,028:INFO:Iteration 3, Epoch 43, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 02:24:06,439:INFO:Iteration 3, Epoch 44, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 02:41:05,531:INFO:Iteration 3, Epoch 45, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
2024-05-18 02:57:45,756:INFO:Iteration 3, Epoch 46, Accuracy: 0.3351236979166667, Loss: 1.0986120700836182, Validation Accuracy: 0.326171875, Validation Loss: 1.098612666130066
